"idsensore","tipologia","unit_dimisura","idstazione","nomestazione","quota","provincia","datastart","datastop","storico","cgb_nord","cgb_est","lng","lat","location"
"11160","Velocità Vento","m/s","1230","San Giacomo Filippo Lago Truzzo","2064","SO","2011-09-30T00:00:00.000",,"N","5134156","524616","9.319988190479972","46.36053123729497","
,  
(46.36053123729497, 9.319988190479972)"
"11165","Livello Idrometrico","cm","1074","Asola v. Carducci","39","MN","2011-10-07T00:00:00.000",,"N","5008416","610514","10.407601456011976","45.220560104644285","
,  
(45.220560104644285, 10.407601456011976)"
"11190","Umidità Relativa","%","846","Edolo Pantano d`Avio","2108","BS","2011-11-06T00:00:00.000",,"N","5114768","613679","10.472817754713557","46.1770002163179","
,  
(46.1770002163179, 10.472817754713557)"
"11216","Temperatura","°C","1202","Vercana","980","CO","2011-11-11T00:00:00.000",,"N","5114303","525058","9.324676976148888","46.18184257309385","
,  
(46.18184257309385, 9.324676976148888)"
"11225","Velocità Vento","m/s","1222","Cavargna","1100","CO","2012-05-11T00:00:00.000",,"N","5104225","508568","9.110834411077645","46.09154660527014","
,  
(46.09154660527014, 9.110834411077645)"
"11226","Direzione Vento","°","1222","Cavargna","1100","CO","2012-05-11T00:00:00.000",,"N","5104225","508568","9.110834411077645","46.09154660527014","
,  
(46.09154660527014, 9.110834411077645)"
"11228","Radiazione Globale","W/m²","1075","Edolo Centrale ENEL","659","BS","2011-12-20T00:00:00.000",,"N","5113706","603479","10.340473514382968","46.16907080571305","
,  
(46.16907080571305, 10.340473514382968)"
"11383","Altezza Neve","cm","1214","Oltre il Colle Acquedotto","1084","BG","2005-01-15T00:00:00.000","2011-12-23T00:00:00.000","S","5082095","559544","9.767460427844235","45.88984523769301","
,  
(45.88984523769301, 9.767460427844235)"
"115","Temperatura","°C","58","Carona Lago Fregabolgia","1955","BG","2001-12-01T00:00:00.000",,"N","5097125","566799","9.863057198828766","46.02443987306136","
,  
(46.02443987306136, 9.863057198828766)"
"116","Precipitazione","mm","58","Carona Lago Fregabolgia","1955","BG","2002-01-01T00:00:00.000",,"N","5097125","566799","9.863057198828766","46.02443987306136","
,  
(46.02443987306136, 9.863057198828766)"
"11641","Velocità Vento","m/s","102","San Colombano al Lambro","140","MI","2001-06-27T00:00:00.000",,"N","5002165","538425","9.488996837896474","45.171918959009645","
,  
(45.171918959009645, 9.488996837896474)"
"11642","Velocità Vento","m/s","106","Varzi Nivione","500","PV","2001-05-15T00:00:00.000",,"N","4961571","514194","9.179491628449293","44.807399892628766","
,  
(44.807399892628766, 9.179491628449293)"
"11643","Velocità Vento","m/s","107","Sondrio Fond.Fojanini","307","SO","2001-01-29T00:00:00.000",,"N","5113016","565691","9.850940145467526","46.167553376526","
,  
(46.167553376526, 9.850940145467526)"
"11644","Velocità Vento","m/s","108","Samolaco v.Vignola","206","SO","1994-07-27T00:00:00.000",,"N","5120369","532896","9.426654061947305","46.23610160988358","
,  
(46.23610160988358, 9.426654061947305)"
"11646","Velocità Vento","m/s","110","Gonzaga Palidano","22","MN","1999-01-01T00:00:00.000",,"N","4980052","638675","10.75828107180869","44.96037167591876","
,  
(44.96037167591876, 10.75828107180869)"
"11647","Velocità Vento","m/s","111","Cassina Valsassina Moggio","1234","LC","2003-02-28T00:00:00.000",,"N","5084512","538583","9.497502220579186","45.91309369355323","
,  
(45.91309369355323, 9.497502220579186)"
"11648","Velocità Vento","m/s","114","Landriano Cascina Marianna","88","PV","2012-04-06T00:00:00.000",,"N","5018600","520938","9.26715311477454","45.32059361110084","
,  
(45.32059361110084, 9.26715311477454)"
"11649","Velocità Vento","m/s","1075","Edolo Centrale ENEL","659","BS","1998-01-01T00:00:00.000",,"N","5113706","603479","10.340473514382968","46.16907080571305","
,  
(46.16907080571305, 10.340473514382968)"
"11650","Velocità Vento","m/s","119","San Giovanni Bianco Cornalita","622","BG","2001-09-07T00:00:00.000",,"N","5079768","549604","9.639112837494569","45.86969089938538","
,  
(45.86969089938538, 9.639112837494569)"
"11651","Velocità Vento","m/s","125","Castello d'Agogna","106","PV","1993-01-01T00:00:00.000","2020-05-29T00:00:00.000","S","5010411","476502","8.700571652227913","45.246800446962254","
,  
(45.246800446962254, 8.700571652227913)"
"11652","Velocità Vento","m/s","127","Casatenovo tetto","360","LC","2002-07-01T00:00:00.000",,"N","5060979","524066","9.309144812286515","45.70194614072786","
,  
(45.70194614072786, 9.309144812286515)"
"11653","Velocità Vento","m/s","129","Capo di Ponte v.Briscioli","362","BS","2003-01-16T00:00:00.000",,"N","5097875","603903","10.34250260860311","46.026563542472815","
,  
(46.026563542472815, 10.34250260860311)"
"11654","Velocità Vento","m/s","132","Bergamo v.Stezzano","211","BG","1993-05-19T00:00:00.000",,"N","5056541","551321","9.658768470289832","45.66051928748766","
,  
(45.66051928748766, 9.658768470289832)"
"11655","Velocità Vento","m/s","134","Corzano Bargnano","93","BS","1998-05-03T00:00:00.000",,"N","5031659","581271","10.039027376964667","45.43372847020967","
,  
(45.43372847020967, 10.039027376964667)"
"11656","Velocità Vento","m/s","136","Persico Dosimo","44","CR","1994-05-14T00:00:00.000",,"N","5003424","582100","10.04494440386871","45.179518392763356","
,  
(45.179518392763356, 10.04494440386871)"
"11657","Velocità Vento","m/s","137","Rivolta d'Adda Ist. Spallanzani","102","CR","1993-06-09T00:00:00.000",,"N","5032417","540720","9.52068900696699","45.444090523311516","
,  
(45.444090523311516, 9.52068900696699)"
"11658","Velocità Vento","m/s","139","Virgilio Mantova Cerese","19","MN","2003-09-26T00:00:00.000","2018-09-19T00:00:00.000","S","4997294","641005","10.792648102258525","45.115047425792355","
,  
(45.115047425792355, 10.792648102258525)"
"11659","Velocità Vento","m/s","212","Canzo","1233","CO","2008-11-26T00:00:00.000",,"N","5077224","524701","9.318132023436622","45.84813790508536","
,  
(45.84813790508536, 9.318132023436622)"
"11660","Velocità Vento","m/s","214","Bigarello","15","MN","2009-11-25T00:00:00.000",,"N","5005622","648246","10.887128700975579","45.18849105038444","
,  
(45.18849105038444, 10.887128700975579)"
"11661","Velocità Vento","m/s","832","Lanzada Palù","2151","SO","2002-01-01T00:00:00.000",,"N","5126972","568128","9.884519789844443","46.29290281845888","
,  
(46.29290281845888, 9.884519789844443)"
"11662","Velocità Vento","m/s","833","Gerola Alta Pescegallo","1875","SO","2002-01-01T00:00:00.000",,"N","5097116","544202","9.571116796075925","46.0261906266171","
,  
(46.0261906266171, 9.571116796075925)"
