ANNO,PROVINCIA,GENERE,FASCIA D'ETA',COORDINATA X,COORDINATA Y,POPOLAZIONE,% POPOLAZIONE,POSIZIONE
2014,CREMONA,ALL,0-17,10.0131151,45.13644491,57783,15.955939813498057,"(45.13644491, 10.0131151)"
2015,CREMONA,ALL,ALL,10.0131151,45.13644491,361610,3.615154637062408,"(45.13644491, 10.0131151)"
2015,REGIONE LOMBARDIA,F,0-17,,,819196,8.189818362498206,
2015,ITALIA,M,18-39,,,7780162,12.797242669421601,
2016,COMO,M,40-64,9.039360974,45.80216962,111974,18.67310148852505,"(45.80216962, 9.039360974)"
2014,PAVIA,ALL,80 e +,9.14034225,45.18407925,40278,7.345630154324252,"(45.18407925, 9.14034225)"
2012,MANTOVA,ALL,65-79,10.77086348,45.14135331,61060,14.958830144027125,"(45.14135331, 10.77086348)"
2017,CREMONA,M,80 e +,10.0131151,45.13644491,8793,2.446659320845437,"(45.13644491, 10.0131151)"
2017,LODI,F,65-79,9.510140481,45.31535435,18311,7.984285203498766,"(45.31535435, 9.510140481)"
2013,LODI,F,18-39,9.510140481,45.31535435,29805,13.19985119443042,"(45.31535435, 9.510140481)"
2016,BRESCIA,F,80 e +,10.18167955,45.51939749,49984,3.954101914002397,"(45.51939749, 10.18167955)"
2017,REGIONE LOMBARDIA,F,0-17,,,813232,8.116763411246005,
2013,VARESE,ALL,0-17,8.80650544,45.80041256,146354,16.688788542236818,"(45.80041256, 8.80650544)"
2013,SONDRIO,M,0-17,9.879429303,46.1707552,15595,8.6112169452405,"(46.1707552, 9.879429303)"
2015,COMO,M,80 e +,9.039360974,45.80216962,12784,2.13100407564531,"(45.80216962, 9.039360974)"
2012,SONDRIO,ALL,0-17,9.879429303,46.1707552,30363,16.796853390571236,"(46.1707552, 9.879429303)"
2016,BERGAMO,F,0-17,9.63853045,45.68012929,97696,8.81495770993,"(45.68012929, 9.63853045)"
2017,BRESCIA,F,40-64,10.18167955,45.51939749,231443,18.32953452899314,"(45.51939749, 10.18167955)"
2016,MILANO,ALL,40-64,9.18951,45.46427,1184600,36.9205758811959,"(45.46427, 9.18951)"
2015,MANTOVA,F,40-64,10.77086348,45.14135331,75359,18.1623401193968,"(45.14135331, 10.77086348)"
2012,MONZA E DELLA BRIANZA,M,80 e +,9.258430902,45.5823624,14410,1.714745382325152,"(45.5823624, 9.258430902)"
2017,CREMONA,ALL,80 e +,10.0131151,45.13644491,26329,7.32606542232907,"(45.13644491, 10.0131151)"
2016,MANTOVA,F,80 e +,10.77086348,45.14135331,20014,4.847554181966148,"(45.14135331, 10.77086348)"
2013,MANTOVA,M,80 e +,10.77086348,45.14135331,9331,2.268467307668932,"(45.14135331, 10.77086348)"
