lago,punto,codice_comune,zero_idrometrico,altezza,unit_di_misura_altezza,zero_idrometrico_unit_di_misura,periodo,anno,zero_idrometrico_unit_di_misura_testuale
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2019-07-02,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-07-03,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-07-04,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.27,cm,mslm,2019-07-05,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.24,cm,mslm,2019-07-06,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.22,cm,mslm,2019-07-07,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.21,cm,mslm,2019-07-08,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.19,cm,mslm,2019-07-09,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.17,cm,mslm,2019-07-10,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.17,cm,mslm,2019-07-11,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.15,cm,mslm,2019-07-12,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.12,cm,mslm,2019-07-13,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.1,cm,mslm,2019-07-14,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.12,cm,mslm,2019-07-15,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.09,cm,mslm,2019-07-16,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.06,cm,mslm,2019-07-17,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.04,cm,mslm,2019-07-18,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.0,cm,mslm,2019-07-19,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.97,cm,mslm,2019-07-20,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.93,cm,mslm,2019-07-21,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.89,cm,mslm,2019-07-22,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.87,cm,mslm,2019-07-23,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.83,cm,mslm,2019-07-24,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.82,cm,mslm,2019-07-25,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.8,cm,mslm,2019-07-26,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.78,cm,mslm,2019-07-27,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.74,cm,mslm,2019-07-28,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.7,cm,mslm,2019-07-29,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.67,cm,mslm,2019-07-30,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.65,cm,mslm,2019-07-31,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.6,cm,mslm,2019-08-01,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.59,cm,mslm,2019-08-02,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.54,cm,mslm,2019-08-03,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.47,cm,mslm,2019-08-04,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.42,cm,mslm,2019-08-05,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.4,cm,mslm,2019-08-06,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.54,cm,mslm,2019-08-07,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.51,cm,mslm,2019-08-08,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.5,cm,mslm,2019-08-09,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.46,cm,mslm,2019-08-10,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,0.42,cm,mslm,2019-08-11,2019,metri sul livello del mare
